timestamp_utc,trial_id,head_id,node_id,segment_id,distance_m,pred_path_loss_db,pred_rssi_dbm,pred_link_margin_db,obs_rssi_dbm,obs_link_margin_db,topography_class,weather_tag,distance_bin,satellite_link_status,material_class,model_name,model_version,model_hash,feature_recipe_version,calibration_version,abs_err_rssi
2026-05-16T18:13:00+00:00,week4-dryrun-001,meshradiohead,meshhikernode1,seg-026,2324.1885663712064,107.21466218261048,-81.0422588539963,49.759554226579496,-88.86493784101405,49.42632215387698,alpine_ridge,clear,2-5km,available,mixed_forest,fspl_baseline,1.0.0,cfbfb162025dbe815381cb3db71f0f41883ec6da0201758c79a610d0e1936dee,v1.0.0,v1.0.0,7.822678987017753
2026-05-16T18:06:00+00:00,week4-dryrun-001,meshradiohead,meshhikernode1,seg-012,1072.733949603769,100.77658416111828,-74.6041808325041,56.55751569655129,-82.31526465663738,52.538857692186426,valley,clear,0-2km,degraded,mixed_forest,fspl_baseline,1.0.0,cfbfb162025dbe815381cb3db71f0f41883ec6da0201758c79a610d0e1936dee,v1.0.0,v1.0.0,7.711083824133283
2026-05-16T18:17:30+00:00,week4-dryrun-001,meshradiohead,meshhikernode1,seg-035,3128.6562435997416,110.41139865261667,-84.23899532400249,46.38412272664888,-76.56665504777455,47.41233478587885,alpine_ridge,clear,2-5km,available,mixed_forest,fspl_baseline,1.0.0,cfbfb162025dbe815381cb3db71f0f41883ec6da0201758c79a610d0e1936dee,v1.0.0,v1.0.0,7.672340276227942
2026-05-16T18:05:00+00:00,week4-dryrun-001,meshradiohead,meshhikernode1,seg-010,893.9487117715756,97.58788446048196,-71.41548113186778,59.924461178086815,-63.87877172244621,59.671623865304234,valley,clear,0-2km,available,mixed_forest,fspl_baseline,1.0.0,cfbfb162025dbe815381cb3db71f0f41883ec6da0201758c79a610d0e1936dee,v1.0.0,v1.0.0,7.536709409421569
2026-05-16T18:02:00+00:00,week4-dryrun-001,meshradiohead,meshhikernode1,seg-004,357.58398903665324,91.45947815314585,-65.28707482453167,66.39544053101287,-72.81259913177705,60.665768349315044,valley,clear,0-2km,available,mixed_forest,fspl_baseline,1.0.0,cfbfb162025dbe815381cb3db71f0f41883ec6da0201758c79a610d0e1936dee,v1.0.0,v1.0.0,7.525524307245377
2026-05-16T18:08:00+00:00,week4-dryrun-001,meshradiohead,meshhikernode1,seg-016,1430.2999203614986,103.52471719397359,-77.3523138653594,53.65576420964137,-84.27687781542453,54.74753471421079,valley,clear,0-2km,available,mixed_forest,fspl_baseline,1.0.0,cfbfb162025dbe815381cb3db71f0f41883ec6da0201758c79a610d0e1936dee,v1.0.0,v1.0.0,6.924563950065121
2026-05-16T18:12:00+00:00,week4-dryrun-001,meshradiohead,meshhikernode1,seg-024,2145.4138408912368,106.26738314975239,-80.09497982113821,50.75978540507474,-73.70880852649637,43.17338153797837,alpine_ridge,clear,2-5km,degraded,mixed_forest,fspl_baseline,1.0.0,cfbfb162025dbe815381cb3db71f0f41883ec6da0201758c79a610d0e1936dee,v1.0.0,v1.0.0,6.386171294641841
2026-05-16T18:13:30+00:00,week4-dryrun-001,meshradiohead,meshhikernode1,seg-027,2413.5753658796057,108.07177761468185,-81.89937428606767,48.85452672254982,-75.8602014357158,47.67341173049721,alpine_ridge,clear,2-5km,degraded,mixed_forest,fspl_baseline,1.0.0,cfbfb162025dbe815381cb3db71f0f41883ec6da0201758c79a610d0e1936dee,v1.0.0,v1.0.0,6.039172850351875
2026-05-16T18:16:30+00:00,week4-dryrun-001,meshradiohead,meshhikernode1,seg-033,2949.888277311158,108.62475398803464,-82.45235065942046,48.27063940908329,-87.9862369562363,47.41331004366928,alpine_ridge,clear,2-5km,degraded,mixed_forest,fspl_baseline,1.0.0,cfbfb162025dbe815381cb3db71f0f41883ec6da0201758c79a610d0e1936dee,v1.0.0,v1.0.0,5.533886296815837
2026-05-16T18:03:00+00:00,week4-dryrun-001,meshradiohead,meshhikernode1,seg-006,536.3737314400772,92.6021699535342,-66.42976662492002,65.18887316647317,-71.95138475887538,69.09477635323046,valley,clear,0-2km,degraded,mixed_forest,fspl_baseline,1.0.0,cfbfb162025dbe815381cb3db71f0f41883ec6da0201758c79a610d0e1936dee,v1.0.0,v1.0.0,5.521618133955357
